Sarki_Ismi,Muzik_Turu,Popülarite
Highway to Hell,rock,84
Feliz Cumpleaños Ferxxo,reggae,84
Don't Be Shy,house,84
Shallow,dance,84
Hot In It,house,84
Losing My Religion,indie-pop,84
Everlong,alternative,84
you broke me first,pop,84
Need to Know,pop,84
Payphone,pop,84
Hotel California - 2013 Remaster,rock,84
Enséñame a Bailar,reggaeton,84
Deep Down (feat. Never Dull),house,84
Aguacero,reggaeton,84
Me Fui de Vacaciones,reggaeton,84
Hot In It,edm,84
Sweet Child O' Mine,rock,84
goosebumps,house,84
Closer,house,84
Bones,rock,84
HUMBLE.,hip-hop,84
Fuck Love (feat. Trippie Redd),emo,83
SAD!,emo,83
Moonlight,emo,83
Cold Heart - PNAU Remix,rock,83
Sunshine,rock,83
You Get Me So High,rock,83
death bed (coffee for your head),sad,83
"Living Life, In The Night",sad,83
SUPERMODEL,indie-pop,83
Mount Everest,indie-pop,83
I WANNA BE YOUR SLAVE,indie-pop,83
Desesperados,latino,83
Si Te La Encuentras Por Ahí,latino,83
Volví,latino,83
Volando - Remix,latino,83
Party en el Barrio (feat. Duki),latino,83
DÁKITI,latino,83
Little Dark Age,rock,83
Happier,dance,83
Washing Machine Heart,indie,83
Young,indie,83
September,soul,83
Don't Stop Believin',hard-rock,83
Moonlight,hip-hop,83
Mask Off,hip-hop,83
Diles,latino,83
UN PESO,latino,83
Si Estuviésemos Juntos,latino,83
Attention,pop,83
Moth To A Flame (with The Weeknd),electro,83
Little Dark Age,alt-rock,83
You Get Me So High,alt-rock,83
Smells Like Teen Spirit,alt-rock,83
Shut Up and Dance,alt-rock,83
Where Did You Go? (feat. MNEK),electro,83
KICK BACK,j-pop,83
September,jazz,83
Mount Everest,indie,83
Notion,indie,83
Little Dark Age,indie,83
Tek It - Sped Up,indie,83
R U Mine?,indie,83
Wasted On You,country,83
Summer High,hip-hop,83
No Love,hip-hop,83
Lovers Rock,indie,83
SAD!,hip-hop,83
MONTERO (Call Me By Your Name),hip-hop,83
R U Mine?,garage,83
Have You Ever Seen The Rain,rock,83
Iris,rock,83
Africa,rock,83
Dancing Queen,swedish,83
Besos Moja2,reggae,83
Formula,indie,83
Heat Waves,indie,83
The Night We Met,indie,83
I WANNA BE YOUR SLAVE,indie,83
Numb,alternative,83
DÁKITI,latin,83
N95,hip-hop,83
Fuck Love (feat. Trippie Redd),hip-hop,83
In Da Club,hip-hop,83
Bye Bye,dance,83
Streets,dance,83
That's What I Like,dance,83
Smells Like Teen Spirit,rock,83
Too Good At Goodbyes,dance,83
Counting Stars,piano,83
Stuck with U (with Justin Bieber),dance,83
Washing Machine Heart,indie-pop,83
Lovers Rock,indie-pop,83
September,funk,83
Little Dark Age,alternative,83
Shut Up and Dance,alternative,83
Smells Like Teen Spirit,alternative,83
You Get Me So High,alternative,83
Take Me To Church,songwriter,83
One Last Time,dance,83
The Night We Met,folk,83
Take Me To Church,singer-songwriter,83
Numb,metal,83
DÁKITI,reggaeton,83
KICK BACK,anime,83
A Tu Merced,latino,83
Agosto,latino,83
El Apagón,latino,83
Rush Hour (Feat. j-hope of BTS),k-pop,83
Don't Stop Believin',rock,83
Moth To A Flame (with The Weeknd),dance,83
Desesperados,latino,83
Pink Venom,pop,83
I Like Me Better,pop,83
Moth To A Flame (with The Weeknd),edm,83
Besos Moja2,latino,83
SUPERMODEL,indie,83
Numb,grunge,83
Smells Like Teen Spirit,grunge,83
Chop Suey!,metal,83
Besos Moja2,reggaeton,83
Happier,electro,83
I Like Me Better,electro,83
SICKO MODE,hip-hop,83
Pink Venom,k-pop,83
Butter,k-pop,83
FEARLESS,k-pop,83
Uptown Funk (feat. Bruno Mars),dance,83
R U Mine?,rock,83
Pumped Up Kicks,rock,83
Counting Stars,rock,83
Sunshine,piano,83
Bye Bye,edm,83
Chop Suey!,alternative,83
For My Hand (feat. Ed Sheeran),dancehall,83
Last Last,dancehall,83
Happier,pop,83
Happier,edm,83
No Lie,dance,83
I Like Me Better,dance,83
Attention,dance,83
Counting Stars,pop,83
Fair Trade (with Travis Scott),hip-hop,83
September,disco,83
All The Small Things,punk,83
Summer High,pop,83
Heat Waves,pop,83
SICKO MODE,house,83
For My Hand (feat. Ed Sheeran),dance,83
Super Freaky Girl,dance,83
21 Reasons (feat. Ella Henderson),dance,83
No Lie,dancehall,83
Happier,progressive-house,83
Moth To A Flame (with The Weeknd),progressive-house,83
double take,chill,83
Story of My Life,pop,83
Happier,house,83
Moth To A Flame (with The Weeknd),house,83
No Lie,pop,83
double take,pop,83
Mood (feat. iann dior),pop,83
DÁKITI,reggae,83
21 Reasons (feat. Ella Henderson),house,83
Shut Up and Dance,rock,83
Love The Way You Lie,hip-hop,83
Godzilla (feat. Juice WRLD),hip-hop,83
All The Stars (with SZA),hip-hop,83
Where Did You Go? (feat. MNEK),house,83
Diles,reggaeton,83
Butter,pop,83
Stuck with U (with Justin Bieber),pop,83
MONTERO (Call Me By Your Name),pop,83
Safe And Sound,rock,83
I WANNA BE YOUR SLAVE,rock,83
Where Did You Go? (feat. MNEK),edm,83
Formula,indie-pop,83
Heat Waves,indie-pop,83
Gasolina,latin,82
HIGHEST IN THE ROOM,hip-hop,82
LA NOCHE DE ANOCHE,latino,82
Todo De Ti,latino,82
Bring Me To Life,metal,82
Californication,metal,82
You Give Love A Bad Name,metal,82
Don't Stop Me Now - Remastered 2011,rock,82
Californication,rock,82
Oh My God,british,82
Easy On Me,british,82
Here Comes The Sun - Remastered 2009,british,82
Can't Stop,alt-rock,82
LA NOCHE DE ANOCHE,reggae,82
Summer Of '69,songwriter,82
All I Want,rock,82
Under the Bridge,funk,82
Pantysito,latino,82
Look At Me!,emo,82
CASE 143,k-pop,82
Chamber Of Reflection,indie,82
Nos Comemos (feat. Ozuna),latino,82
LOS APARATOS,latino,82
Zombie,rock,82
Dream On,rock,82
Here Comes The Sun - Remastered 2009,rock,82
Line Without a Hook,indie-pop,82
Prom Queen,indie-pop,82
Angel Baby,dance,82
See You Again (feat. Charlie Puth),dance,82
2002,dance,82
Summer,electro,82
Californication,funk,82
Sweet Dreams (Are Made of This) - Remastered,rock,82
Classic,rock,82
No Surprises,rock,82
Chamber Of Reflection,edm,82
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,edm,82
Fortunate Son,country,82
Alien Blues,garage,82
Ain't No Mountain High Enough,soul,82
We Don't Talk Anymore (feat. Selena Gomez),pop,82
Oh My God,soul,82
Not Allowed,indie,82
Hold On,acoustic,82
She Don't Give a Fo,latino,82
CÓMO SE SIENTE - Remix,latino,82
Si Veo a Tu Mamá,latino,82
Loco Por Perrearte - Remix,latino,82
Dream On,hard-rock,82
Unforgettable,hip-hop,82
She Had Me At Heads Carolina,country,82
The Kind of Love We Make,country,82
Riptide,folk,82
Alien Blues,indie,82
"Hey, Soul Sister",rock,82
Sweet Dreams (Are Made of This) - Remastered,synth-pop,82
What A Time (feat. Niall Horan),electro,82
Happier Than Ever - Edit,electro,82
See You Again (feat. Charlie Puth),hip-hop,82
Talking to the Moon,dance,82
DICE,k-pop,82
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,electro,82
Promiscuous,latin,82
No Surprises,indie,82
Line Without a Hook,indie,82
Prom Queen,indie,82
Baller,hip-hop,82
Excuses,hip-hop,82
Victoria’s Secret,songwriter,82
Here Comes The Sun - Remastered 2009,psych-rock,82
Gimme! Gimme! Gimme! (A Man After Midnight),swedish,82
The Business,trance,82
Move Your Body,brazil,82
All The Small Things,punk-rock,82
"Manike (From \""Thank God\"")",indie,82
The Business,house,82
Stereo Hearts (feat. Adam Levine),dance,82
Summer of Love (Shawn Mendes & Tainy),dance,82
It Was A Good Day,funk,82
Can't Stop,funk,82
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,house,82
Baby,pop,82
