Sarki_Ismi,Muzik_Turu,Popülarite
OUT OUT (feat. Charli XCX & Saweetie),house,81
The Reason,grunge,81
Heathens,rock,81
golden hour,indie-pop,81
Ride It,edm,81
OUT OUT (feat. Charli XCX & Saweetie),edm,81
A Thousand Years,pop,81
Silence,house,81
This Is What You Came For,house,81
Roses - Imanbek Remix,house,81
Master Of Puppets,rock,81
TE MUDASTE,reggaeton,81
Callaita,reggaeton,81
Ride It,house,81
Calling My Phone,r-n-b,81
2055,r-n-b,81
Die Young (feat. 347aidan),r-n-b,81
Beat the Odds,r-n-b,81
Until I Found You,singer-songwriter,81
Fourth of July,singer-songwriter,81
Unstoppable,dance,81
Thousand Miles,hip-hop,81
Teenagers,emo,81
Always Forever,indie,81
My Kind of Woman,indie,81
Sucker,dance,81
TE MUDASTE,latino,81
Berlin,latino,81
The Middle,alt-rock,81
"You're Gonna Go Far, Kid",ska,81
The Middle,power-pop,81
rises the moon,indie-pop,81
34+35,dance,81
Kings & Queens,dance,81
Hit 'Em Up - Single Version,funk,81
The Reason,funk,81
Whiskey Glasses,country,81
The Reason,alternative,81
Junio,reggae,81
Toxicity,metal,81
Tacones Rojos,reggaeton,81
Mercedes Tintia,reggaeton,81
Unholy (feat. Kim Petras),dance,100
Unholy (feat. Kim Petras),pop,100
